Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway	Ontology_parents_of_class
PWY-695	NADH // NAD // HYDROGEN-PEROXIDE // CPD-693 // PROTON // CPD-692 // WATER // CPD1F-4 // CPD-7279 // OXYGEN-MOLECULE // CPD-7424 // CPD1F-135 // CPD1F-133	AT1G52340-MONOMER // AT3G42960-MONOMER // AT3G51680-MONOMER // AT3G26770-MONOMER // AT3G26760-MONOMER // CPLX-7097 // AT1G30100-MONOMER // AT3G14440-MONOMER // AT1G78390-MONOMER // AT3G24220-MONOMER // AT4G18350-MONOMER // AT4G19170-MONOMER // AT1G67080-MONOMER	AT1G52340 // AT3G42960 // AT3G51680 // AT3G26770 // AT3G26760 // AT2G27150 // AT1G30100 // AT3G14440 // AT1G78390 // AT3G24220 // AT4G18350 // AT4G19170 // AT1G67080	RXN1F-155 // RXN-8074 // RXN-698 // 1.2.3.14-RXN // 1.1.1.288-RXN	CPD1F-133 // OXYGEN-MOLECULE // WATER // NAD	CPD1F-4 // PROTON // CPD-693 // HYDROGEN-PEROXIDE // NADH	Abscisic-Acid-Biosynthesis
PWY-5272	UDP // CPD-12575 // PROTON // Glucopyranose // CPD-693 // CPD-7727 // WATER	AT3G21780-MONOMER // AT2G23260-MONOMER // AT2G23250-MONOMER // AT4G34138-MONOMER // AT1G05560-MONOMER // AT1G05530-MONOMER // AT2G23210-MONOMER // AT3G21760-MONOMER // AT3G21790-MONOMER // AT4G15260-MONOMER // AT4G15550-MONOMER // MONOMERQT-8294 // AT4G15280-MONOMER // AT1G52400-MONOMER	AT3G21780 // AT2G23260 // AT2G23250 // AT4G34138 // AT1G05560 // AT1G05530 // AT2G23210 // AT3G21760 // AT3G21790 // AT4G15260 // AT4G15550 // AT4G15270 // AT4G15280 // AT1G52400	RXN-11469 // RXN-8155	WATER // CPD-12575	Glucopyranose // PROTON // UDP	Abscisic-Acid-Degradation // Interconversion
PWY-7640	WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-693 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-7729 // CPD-7728	AT4G19230-MONOMER // AT2G29090-MONOMER // AT5G45340-MONOMER // AT3G19270-MONOMER	AT4G19230 // AT2G29090 // AT5G45340 // AT3G19270	RXN-16461 // RXN-16460	CPD-693 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	CPD-7729 // Ox-NADPH-Hemoprotein-Reductases // WATER	Abscisic-Acid-Degradation
PWY-5271	WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-7234 // CPD-693 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // Donor-H2 // CPD-7725 // CPD-7726 // Acceptor	AT4G19230-MONOMER // AT5G45340-MONOMER // AT3G19270-MONOMER // AT2G29090-MONOMER	AT4G19230 // AT5G45340 // AT3G19270 // AT2G29090	RXN-8154 // 1.14.13.93-RXN // RXN-8153	Donor-H2 // CPD-693 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	CPD-7726 // Acceptor // Ox-NADPH-Hemoprotein-Reductases // WATER	Abscisic-Acid-Degradation
PWY-6333	PROTON // NADH // ACETALD // ETOH // NAD	AT5G24760-MONOMER // AT5G42250-MONOMER // AT4G22110-MONOMER // AT1G64710-MONOMER // AT1G22430-MONOMER // AT1G32780-MONOMER // AT1G22440-MONOMER // AT2G29350-MONOMER // AT1G77120-MONOMER	AT5G24760 // AT5G42250 // AT4G22110 // AT1G64710 // AT1G22430 // AT1G32780 // AT1G22440 // AT2G29350 // AT1G77120	ALCOHOL-DEHYDROG-RXN	ETOH // NAD	ACETALD // NADH // PROTON	Acetaldehyde-Biosynthesis
PWY0-1313	AMP // PPI // ACETYL-COA // CO-A // ACET // ATP	AT5G36880-MONOMER // AT3G16910-MONOMER // AT1G55320-MONOMER // AT5G23050-MONOMER	AT5G36880 // AT3G16910 // AT1G55320 // AT5G23050	ACETATE--COA-LIGASE-RXN	CO-A // ACET // ATP	ACETYL-COA // PPI // AMP	CARBOXYLATES-DEG
PWY-5172	ATP // CO-A // CIT // OXALACETIC_ACID // ACETYL-COA // Pi // ADP	CPLX-7089 // AT3G06650-MONOMER // AT1G09430-MONOMER // AT1G60810-MONOMER // AT5G49460-MONOMER	AT1G10670 // AT3G06650 // AT1G09430 // AT1G60810 // AT5G49460	ATP-CITRATE-PRO-S--LYASE-RXN	CIT // CO-A // ATP	OXALACETIC_ACID // ACETYL-COA // Pi // ADP	Acetyl-CoA-Biosynthesis
PWY-6012	PANTETHEINE-P // WATER // PROTON // All-holo-ACPs // 3-5-ADP // All-apo-ACPs // CO-A	MONOMERQT-7834 // MONOMERQT-8382 // AT4G00920-MONOMER // MONOMERQT-8384 // MONOMERQT-8732 // AT2G02770-MONOMER // MONOMERQT-9226 // MONOMERQT-9235 // AT1G55865-MONOMER // AT1G30060-MONOMER	AT5G37190 // AT4G00930 // AT4G00920 // AT4G00580 // AT3G11470 // AT2G02770 // AT2G02765 // AT2G01800 // AT1G55865 // AT1G30060	HOLO-ACP-SYNTH-RXN // 3.1.4.14-RXN	CO-A // WATER	3-5-ADP // PROTON // PANTETHEINE-P	Carriers-Biosynthesis // Interconversion
PWY-5148	PROTON // CO-A // CPD66-39 // Saturated-Fatty-Acyl-CoA // WATER	AT4G00520-MONOMER // MONOMERQT-9727 // AT1G52191-MONOMER // AT2G29590-MONOMER // AT3G16175-MONOMER // AT3G61200-MONOMER // AT2G30720-MONOMER // AT5G48370-MONOMER // CPLX-7073	AT4G00520 // AT1G04290 // AT1G52191 // AT2G29590 // AT3G16175 // AT3G61200 // AT2G30720 // AT5G48370 // AT1G01710	THIOESTER-RXN	Saturated-Fatty-Acyl-CoA // WATER	CPD66-39 // CO-A // PROTON	Lipid-Biosynthesis
PWY-5142	PROTON // ACP // Fatty-Acids // ACYL-ACP // WATER	AT3G25110-MONOMER // AT1G08510-MONOMER // AT1G35290-MONOMER // AT1G35250-MONOMER // AT1G68260-MONOMER // AT1G68280-MONOMER // MONOMERQT-9367	AT3G25110 // AT1G08510 // AT1G35290 // AT1G35250 // AT1G68260 // AT1G68280 // AT1G66550	RXN-7902	ACYL-ACP // WATER	Fatty-Acids // ACP // PROTON	Lipid-Biosynthesis
PWY-6605	PRPP // AMP // PPI // ADENINE // D-Ribofuranose // WATER // ADENOSINE	AT1G80050-MONOMER // AT4G22570-MONOMER // AT1G27450-MONOMER // AT5G11160-MONOMER // AT4G12440-MONOMER // AT2G36310-MONOMER // AT5G18860-MONOMER // AT5G18890-MONOMER // AT5G18870-MONOMER	AT1G80050 // AT4G22570 // AT1G27450 // AT5G11160 // AT4G12440 // AT2G36310 // AT5G18860 // AT5G18890 // AT5G18870	ADENOSINE-NUCLEOSIDASE-RXN // ADENPRIBOSYLTRAN-RXN	WATER // ADENOSINE // PRPP	D-Ribofuranose // AMP // PPI	Adenine-Adenosine-Salvage
PWY-6619	ADP // AMP // PROTON // ADENOSINE // ATP	AT5G03300-MONOMER // AT3G09820-MONOMER	AT5G03300 // AT3G09820	ADENOSINE-KINASE-RXN	ADENOSINE // ATP	PROTON // AMP // ADP	Adenine-Adenosine-Salvage
PWY-7227	Red-Thioredoxin // Ox-Thioredoxin // WATER // ADP // DATP // DADP // ATP	CPLXQT-14 // CPLXQT-6 // CPLXQT-13 // AT4G23895-MONOMER // CPLX-8615 // AT4G23900-MONOMER // AT1G17410-MONOMER // AT4G11010-MONOMER // AT5G63310-MONOMER	AT3G27060 // AT2G21790 // AT3G23580 // AT5G40942 // AT4G23895 // AT4G09320 // AT4G23900 // AT1G17410 // AT4G11010 // AT5G63310	DADPKIN-RXN // ADPREDUCT-RXN	ATP // Red-Thioredoxin	DATP // Ox-Thioredoxin // WATER	Adenosine-Deoxy-Denovo-Bbiosynthesis
PWY-6596	AMMONIUM // AMP // XANTHOSINE-5-PHOSPHATE // Pi // IMP // INOSINE // D-Ribofuranose // XANTHOSINE // URATE // PROTON // NADH // XANTHINE // HYPOXANTHINE // NAD // WATER	AT2G38280-MONOMER // AT1G79470-MONOMER // AT1G16350-MONOMER // MONOMERQT-9307 // MONOMERQT-9098 // AT2G38680-MONOMER // AT4G14930-MONOMER // AT1G75210-MONOMER // AT5G48960-MONOMER // AT1G05620-MONOMER // AT5G18860-MONOMER // AT5G18890-MONOMER // AT5G18870-MONOMER // AT2G36310-MONOMER // AT4G37500-MONOMER // AT4G31196-MONOMER // AT4G02180-MONOMER // AT3G04390-MONOMER // AT4G34890-MONOMER // CPLX-6985 // AT4G34900-MONOMER	AT2G38280 // AT1G79470 // AT1G16350 // AT1G72880 // AT2G23890 // AT2G38680 // AT4G14930 // AT1G75210 // AT5G48960 // AT1G05620 // AT5G18860 // AT5G18890 // AT5G18870 // AT2G36310 // AT4G37500 // AT4G31196 // AT4G02180 // AT3G04390 // AT4G34890 // AT4G34900	RXN-7682 // RXN0-901 // RXN0-363 // INOSINE-NUCLEOSIDASE-RXN // RXN-7607 // XMPXAN-RXN // IMP-DEHYDROG-RXN // AMP-DEAMINASE-RXN	NAD // WATER // AMP	NADH // URATE // D-Ribofuranose // Pi // AMMONIUM	Adenosine-Nucleotides-Degradation
PWY-7219	GDP // Pi // PROTON // L-ASPARTATE // IMP // GTP // FUM // ADENYLOSUCC // ADP // AMP // ATP	CPLXQT-5 // AT4G18440-MONOMER // AT1G36280-MONOMER // AT2G37250-MONOMER // AT2G39270-MONOMER // AT5G50370-MONOMER // AT5G47840-MONOMER // AT3G01820-MONOMER // AT5G35170-MONOMER // AT5G63400-MONOMER // AT5G60340-MONOMER	AT3G57610 // AT4G18440 // AT1G36280 // AT2G37250 // AT2G39270 // AT5G50370 // AT5G47840 // AT3G01820 // AT5G35170 // AT5G63400 // AT5G60340	ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN	ATP // L-ASPARTATE // IMP // GTP	ADP // FUM // PROTON // Pi // GDP	Purine-Ribonuc-De-Novo-Biosynthesis
PWY-3781	E- // FUM // SUC // Ubiquinols // NAD // NADH // Ubiquinones // Cytochromes-C-Oxidized // WATER // PROTON // OXYGEN-MOLECULE // Cytochromes-C-Reduced	AT5G13440-MONOMER // AT5G13430-MONOMER // ATMG00220-MONOMER // CPLX-5321 // MONOMERQT-7811 // AT1G51980-MONOMER // AT3G02090-MONOMER // AT3G16480-MONOMER // AT3G27240-MONOMER // CPLX-5301 // AT5G09600-MONOMER // AT3G47833-MONOMER // AT1G08480-MONOMER // AT2G46390-MONOMER // AT1G47420-MONOMER // AT5G62575-MONOMER // AT3G27380-MONOMER // AT5G65165-MONOMER // AT2G18450-MONOMER // AT4G32210-MONOMER // AT2G46505-MONOMER // AT2G07751-MONOMER // AT2G07689-MONOMER // ATMG01275-MONOMER // ATCG00890-MONOMER // ATCG01250-MONOMER // AT2G07785-MONOMER // AT1G16700-MONOMER // ATCG00430-MONOMER // ATCG01100-MONOMER // ATMG00285-MONOMER // ATMG01320-MONOMER // ATCG00420-MONOMER // CPLX-5263 // AT1G19580-MONOMER // AT4G20150-MONOMER // AT2G27730-MONOMER // AT2G42310-MONOMER // AT2G47690-MONOMER // AT2G31490-MONOMER // AT5G63510-MONOMER // AT3G57785-MONOMER // AT1G47260-MONOMER // AT5G66510-MONOMER // AT4G16450-MONOMER // AT3G12260-MONOMER // AT3G48680-MONOMER // AT3G08610-MONOMER // AT5G52840-MONOMER // ATMG00510-MONOMER // AT3G03100-MONOMER // AT1G79010-MONOMER // AT5G11770-MONOMER // AT4G02580-MONOMER // ATMG00070-MONOMER // AT5G37510-MONOMER // AT1G49140-MONOMER // AT5G67590-MONOMER // AT2G02050-MONOMER // AT5G08530-MONOMER // AT3G27890-MONOMER // ATCG01050-MONOMER // AT2G33220-MONOMER // AT5G04750-MONOMER // AT4G28005-MONOMER // AT4G26965-MONOMER // AT3G62790-MONOMER // MONOMERQT-8676 // AT1G70760-MONOMER // MONOMERQT-9349 // CPLX-5323 // ATMG01280-MONOMER // AT2G07687-MONOMER // AT2G07695-MONOMER // AT1G80230-MONOMER // AT2G47380-MONOMER // ATMG00160-MONOMER // AT5G66520-MONOMER // AT5G66500-MONOMER // AT5G65570-MONOMER // AT5G61800-MONOMER // MONOMERQT-7651 // AT5G59600-MONOMER // AT5G59200-MONOMER // AT5G56310-MONOMER // AT5G55740-MONOMER // AT5G52850-MONOMER // AT5G52630-MONOMER // AT5G50990-MONOMER // AT5G50390-MONOMER // AT5G48910-MONOMER // AT5G47460-MONOMER // AT5G46460-MONOMER // MONOMERQT-7771 // AT5G43790-MONOMER // MONOMERQT-7797 // AT5G40410-MONOMER // MONOMERQT-7812 // AT5G39680-MONOMER // AT5G39350-MONOMER // MONOMERQT-7827 // AT5G27110-MONOMER // AT5G19020-MONOMER // AT5G16860-MONOMER // AT5G15340-MONOMER // AT5G15300-MONOMER // AT5G13270-MONOMER // AT5G13230-MONOMER // MONOMERQT-8000 // AT5G08510-MONOMER // MONOMERQT-8017 // AT5G08305-MONOMER // AT5G06540-MONOMER // AT5G04780-MONOMER // AT5G03800-MONOMER // AT4G39952-MONOMER // AT4G39530-MONOMER // AT4G38010-MONOMER // AT4G37380-MONOMER // AT4G37170-MONOMER // AT4G35130-MONOMER // MONOMERQT-8124 // AT4G33170-MONOMER // AT4G32450-MONOMER // MONOMERQT-8150 // MONOMERQT-8158 // AT4G30700-MONOMER // AT4G25270-MONOMER // AT4G22760-MONOMER // AT4G21300-MONOMER // MONOMERQT-8238 // AT4G20770-MONOMER // AT4G19220-MONOMER // AT4G19191-MONOMER // MONOMERQT-8261 // AT4G18750-MONOMER // AT4G16835-MONOMER // AT4G16470-MONOMER // AT4G15720-MONOMER // AT4G14850-MONOMER // AT4G14820-MONOMER // MONOMERQT-8318 // MONOMERQT-8319 // AT4G13650-MONOMER // AT4G08210-MONOMER // AT4G04370-MONOMER // AT4G02750-MONOMER // AT4G01030-MONOMER // MONOMERQT-8393 // AT3G62890-MONOMER // AT3G62400-MONOMER // AT3G61170-MONOMER // AT3G58590-MONOMER // AT3G57430-MONOMER // MONOMERQT-8463 // MONOMERQT-8493 // AT3G51320-MONOMER // MONOMERQT-8509 // AT3G49740-MONOMER // AT3G49710-MONOMER // AT3G49170-MONOMER // AT3G49142-MONOMER // AT3G47840-MONOMER // AT3G47530-MONOMER // AT3G46790-MONOMER // AT3G29230-MONOMER // AT3G28660-MONOMER // AT3G28640-MONOMER // AT3G26782-MONOMER // AT3G26630-MONOMER // AT3G25970-MONOMER // AT3G25060-MONOMER // AT3G24000-MONOMER // MONOMERQT-8623 // MONOMERQT-8628 // MONOMERQT-8631 // AT3G21470-MONOMER // AT3G20730-MONOMER // AT3G18970-MONOMER // MONOMERQT-8674 // AT3G16610-MONOMER // AT3G15930-MONOMER // AT3G15130-MONOMER // AT3G14730-MONOMER // AT3G14330-MONOMER // AT3G13880-MONOMER // MONOMERQT-8712 // AT3G12770-MONOMER // AT3G11460-MONOMER // MONOMERQT-8758 // AT3G08820-MONOMER // AT3G05340-MONOMER // AT3G05240-MONOMER // AT3G04750-MONOMER // AT3G03580-MONOMER // AT3G02330-MONOMER // AT3G02010-MONOMER // AT3G01580-MONOMER // AT2G46050-MONOMER // AT2G45350-MONOMER // MONOMERQT-8890 // MONOMERQT-8908 // AT2G41080-MONOMER // AT2G40720-MONOMER // AT2G39620-MONOMER // AT2G37320-MONOMER // AT2G37310-MONOMER // MONOMERQT-8976 // AT2G36730-MONOMER // AT2G35030-MONOMER // AT2G34400-MONOMER // AT2G34370-MONOMER // AT2G33760-MONOMER // MONOMERQT-9000 // AT2G29760-MONOMER // AT2G27610-MONOMER // AT2G27229-MONOMER // MONOMERQT-9089 // AT2G22410-MONOMER // AT2G22070-MONOMER // AT2G21090-MONOMER // MONOMERQT-9127 // AT2G17210-MONOMER // AT2G15690-MONOMER // AT2G13600-MONOMER // AT2G04860-MONOMER // AT2G03880-MONOMER // AT2G03380-MONOMER // AT2G02980-MONOMER // AT2G02750-MONOMER // MONOMERQT-9237 // AT1G77170-MONOMER // AT1G77150-MONOMER // AT1G77010-MONOMER // MONOMERQT-9296 // AT1G74600-MONOMER // AT1G74400-MONOMER // AT1G71490-MONOMER // AT1G71420-MONOMER // AT1G69350-MONOMER // MONOMERQT-9333 // AT1G64310-MONOMER // AT1G62260-MONOMER // AT1G59720-MONOMER // AT1G56690-MONOMER // MONOMERQT-9423 // MONOMERQT-9453 // AT1G52710-MONOMER // AT1G50270-MONOMER // AT1G43980-MONOMER // MONOMERQT-9527 // MONOMERQT-9533 // AT1G32415-MONOMER // AT1G31920-MONOMER // AT1G31790-MONOMER // MONOMERQT-9552 // AT1G29710-MONOMER // AT1G28690-MONOMER // AT1G26900-MONOMER // AT1G25360-MONOMER // AT1G23450-MONOMER // AT1G20230-MONOMER // AT1G19720-MONOMER // AT1G18485-MONOMER // MONOMERQT-9608 // MONOMERQT-9625 // AT1G15510-MONOMER // AT1G13410-MONOMER // AT1G11290-MONOMER // AT1G10330-MONOMER // AT1G09410-MONOMER // AT1G09220-MONOMER // AT1G09190-MONOMER // MONOMERQT-9697 // AT1G06143-MONOMER // AT1G06140-MONOMER // MONOMERQT-9716 // AT1G04840-MONOMER // AT1G03540-MONOMER // AT1G03510-MONOMER	AT5G13430 // ATMG00220 // AT2G07727 // AT5G13440 // AT5G40810 // AT1G51980 // AT3G02090 // AT3G16480 // AT3G27240 // AT5G66760 // AT5G40650 // AT5G09600 // AT3G47833 // AT1G08480 // AT2G46390 // AT1G47420 // AT5G62575 // AT3G27380 // AT5G65165 // AT2G18450 // AT4G32210 // AT2G46505 // AT2G07751 // AT2G07689 // ATMG01275 // ATCG00890 // ATCG01250 // AT2G07785 // AT1G16700 // ATCG00430 // ATCG01100 // ATMG00285 // ATMG01320 // ATCG00420 // AT2G20360 // ATMG00060 // ATMG00665 // ATMG00513 // ATMG00516 // ATMG01120 // AT1G19580 // AT4G20150 // AT2G27730 // AT2G42310 // AT2G47690 // AT2G31490 // AT5G63510 // AT3G57785 // AT1G47260 // AT5G66510 // AT4G16450 // AT3G12260 // AT3G48680 // AT3G08610 // AT5G52840 // ATMG00510 // AT3G03100 // AT1G79010 // AT5G11770 // AT4G02580 // ATMG00070 // AT5G37510 // AT1G49140 // AT5G67590 // AT2G02050 // AT5G08530 // AT3G27890 // ATCG01050 // AT2G33220 // AT5G04750 // AT4G28005 // AT4G26965 // AT3G62790 // AT3G18410 // AT1G70760 // AT1G67350 // ATMG01360 // ATMG00730 // AT4G37830 // ATMG01280 // AT2G07687 // AT2G07695 // AT1G80230 // AT3G15640 // AT2G47380 // ATMG00160 // AT5G66520 // AT5G66500 // AT5G65570 // AT5G61800 // AT5G61310 // AT5G59600 // AT5G59200 // AT5G56310 // AT5G55740 // AT5G52850 // AT5G52630 // AT5G50990 // AT5G50390 // AT5G48910 // AT5G47460 // AT5G46460 // AT5G44230 // AT5G43790 // AT5G42450 // AT5G40410 // AT5G40405 // AT5G39680 // AT5G39350 // AT5G37570 // AT5G27110 // AT5G19020 // AT5G16860 // AT5G15340 // AT5G15300 // AT5G13270 // AT5G13230 // AT5G09950 // AT5G08510 // AT5G08490 // AT5G08305 // AT5G06540 // AT5G04780 // AT5G03800 // AT4G39952 // AT4G39530 // AT4G38010 // AT4G37380 // AT4G37170 // AT4G35130 // AT4G33990 // AT4G33170 // AT4G32450 // AT4G32430 // AT4G31070 // AT4G30700 // AT4G25270 // AT4G22760 // AT4G21300 // AT4G21065 // AT4G20770 // AT4G19220 // AT4G19191 // AT4G18840 // AT4G18750 // AT4G16835 // AT4G16470 // AT4G15720 // AT4G14850 // AT4G14820 // AT4G14170 // AT4G14050 // AT4G13650 // AT4G08210 // AT4G04370 // AT4G02750 // AT4G01030 // AT3G63370 // AT3G62890 // AT3G62400 // AT3G61170 // AT3G58590 // AT3G57430 // AT3G56550 // AT3G53360 // AT3G51320 // AT3G50420 // AT3G49740 // AT3G49710 // AT3G49170 // AT3G49142 // AT3G47840 // AT3G47530 // AT3G46790 // AT3G29230 // AT3G28660 // AT3G28640 // AT3G26782 // AT3G26630 // AT3G25970 // AT3G25060 // AT3G24000 // AT3G23330 // AT3G22690 // AT3G22150 // AT3G21470 // AT3G20730 // AT3G18970 // AT3G18840 // AT3G16610 // AT3G15930 // AT3G15130 // AT3G14730 // AT3G14330 // AT3G13880 // AT3G13770 // AT3G12770 // AT3G11460 // AT3G09040 // AT3G08820 // AT3G05340 // AT3G05240 // AT3G04750 // AT3G03580 // AT3G02330 // AT3G02010 // AT3G01580 // AT2G46050 // AT2G45350 // AT2G44880 // AT2G42920 // AT2G41080 // AT2G40720 // AT2G39620 // AT2G37320 // AT2G37310 // AT2G36980 // AT2G36730 // AT2G35030 // AT2G34400 // AT2G34370 // AT2G33760 // AT2G33680 // AT2G29760 // AT2G27610 // AT2G27229 // AT2G25580 // AT2G22410 // AT2G22070 // AT2G21090 // AT2G20540 // AT2G17210 // AT2G15690 // AT2G13600 // AT2G04860 // AT2G03880 // AT2G03380 // AT2G02980 // AT2G02750 // AT2G01510 // AT1G77170 // AT1G77150 // AT1G77010 // AT1G74630 // AT1G74600 // AT1G74400 // AT1G71490 // AT1G71420 // AT1G69350 // AT1G68930 // AT1G64310 // AT1G62260 // AT1G59720 // AT1G56690 // AT1G56570 // AT1G53600 // AT1G52710 // AT1G50270 // AT1G43980 // AT1G34160 // AT1G33350 // AT1G32415 // AT1G31920 // AT1G31790 // AT1G31430 // AT1G29710 // AT1G28690 // AT1G26900 // AT1G25360 // AT1G23450 // AT1G20230 // AT1G19720 // AT1G18485 // AT1G17630 // AT1G16480 // AT1G15510 // AT1G13410 // AT1G11290 // AT1G10330 // AT1G09410 // AT1G09220 // AT1G09190 // AT1G08070 // AT1G06143 // AT1G06140 // AT1G05750 // AT1G04840 // AT1G03540 // AT1G03510	CYTOCHROME-C-OXIDASE-RXN // NADH-DEHYDROG-A-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // 1.10.2.2-RXN	OXYGEN-MOLECULE // NADH // SUC	WATER // NAD // FUM	AEROBIC-RESPIRATION // Electron-Transfer
PWY-4302	E- // WATER // OXYGEN-MOLECULE // FUM // SUC // Ubiquinols // NAD // PROTON // NADH // Ubiquinones	AT3G22370-MONOMER // AT3G22360-MONOMER // AT1G32350-MONOMER // AT3G27620-MONOMER // AT5G64210-MONOMER // MONOMERQT-7623 // AT5G63625-MONOMER // AT4G22260-MONOMER // CPLX-5301 // AT5G09600-MONOMER // AT3G47833-MONOMER // AT1G08480-MONOMER // AT2G46390-MONOMER // AT1G47420-MONOMER // AT5G62575-MONOMER // AT3G27380-MONOMER // AT5G65165-MONOMER // AT2G18450-MONOMER // AT4G32210-MONOMER // AT2G46505-MONOMER // AT2G07751-MONOMER // AT2G07689-MONOMER // ATMG01275-MONOMER // ATCG00890-MONOMER // ATCG01250-MONOMER // AT2G07785-MONOMER // AT1G16700-MONOMER // ATCG00430-MONOMER // ATCG01100-MONOMER // ATMG00285-MONOMER // ATMG01320-MONOMER // ATCG00420-MONOMER // CPLX-5263 // AT1G19580-MONOMER // AT4G20150-MONOMER // AT2G27730-MONOMER // AT2G42310-MONOMER // AT2G47690-MONOMER // AT2G31490-MONOMER // AT5G63510-MONOMER // AT3G57785-MONOMER // AT1G47260-MONOMER // AT5G66510-MONOMER // AT4G16450-MONOMER // AT3G12260-MONOMER // AT3G48680-MONOMER // AT3G08610-MONOMER // AT5G52840-MONOMER // ATMG00510-MONOMER // AT3G03100-MONOMER // AT1G79010-MONOMER // AT5G11770-MONOMER // AT4G02580-MONOMER // ATMG00070-MONOMER // AT5G37510-MONOMER // AT1G49140-MONOMER // AT5G67590-MONOMER // AT2G02050-MONOMER // AT5G08530-MONOMER // AT3G27890-MONOMER // ATCG01050-MONOMER // AT2G33220-MONOMER // AT5G04750-MONOMER // AT4G28005-MONOMER // AT4G26965-MONOMER // AT3G62790-MONOMER // MONOMERQT-8676 // AT1G70760-MONOMER // MONOMERQT-9349	AT3G22370 // AT3G22360 // AT1G32350 // AT3G27620 // AT5G64210 // AT5G64687 // AT5G63625 // AT4G22260 // AT5G66760 // AT5G40650 // AT5G09600 // AT3G47833 // AT1G08480 // AT2G46390 // AT1G47420 // AT5G62575 // AT3G27380 // AT5G65165 // AT2G18450 // AT4G32210 // AT2G46505 // AT2G07751 // AT2G07689 // ATMG01275 // ATCG00890 // ATCG01250 // AT2G07785 // AT1G16700 // ATCG00430 // ATCG01100 // ATMG00285 // ATMG01320 // ATCG00420 // AT2G20360 // ATMG00060 // ATMG00665 // ATMG00513 // ATMG00516 // ATMG01120 // AT1G19580 // AT4G20150 // AT2G27730 // AT2G42310 // AT2G47690 // AT2G31490 // AT5G63510 // AT3G57785 // AT1G47260 // AT5G66510 // AT4G16450 // AT3G12260 // AT3G48680 // AT3G08610 // AT5G52840 // ATMG00510 // AT3G03100 // AT1G79010 // AT5G11770 // AT4G02580 // ATMG00070 // AT5G37510 // AT1G49140 // AT5G67590 // AT2G02050 // AT5G08530 // AT3G27890 // ATCG01050 // AT2G33220 // AT5G04750 // AT4G28005 // AT4G26965 // AT3G62790 // AT3G18410 // AT1G70760 // AT1G67350	NADH-DEHYDROG-A-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // RXN-6883	NADH // SUC // OXYGEN-MOLECULE	NAD // FUM // WATER	AEROBIC-RESPIRATION // Electron-Transfer
PWY-5342	CPD-170 // MYO-INOSITOL // CPD-8066 // CPD-8065 // CPD-458	AT5G40390-MONOMER	AT5G40390	RXN-8288 // RXN-8284	CPD-458 // CPD-170	CPD-8066 // MYO-INOSITOL	Glycan-Pathways // Oligosaccharides-Biosynthesis
PWY-5343	CPD-8066 // CPD-8065 // SUCROSE // CPD-170 // CPD-1099			RXN-8287 // RXN-8285 // RXN-8286		SUCROSE // CPD-8066	Glycan-Pathways // Oligosaccharides-Biosynthesis
