Pathways	Compounds of pathway	Enzymes of pathway	Genes of pathway	Ontology - parents of class	Reactants of pathway	Reactions of pathway
PWY-1801	FORMATE // WATER // GLUTATHIONE // FORMALDEHYDE // PROTON // NADH-P-OR-NOP // CPD-548 // S-HYDROXYMETHYLGLUTATHIONE // NAD-P-OR-NOP	ZM00001D042150-MONOMER // ZM00001D028378-MONOMER // MONOMERDQC-55047 // ZM00001D042151-MONOMER // ZM00001D037562-MONOMER // MONOMERDQC-57830	ZM00001D042150 // ZM00001D028378 // ZM00001D011891 // ZM00001D042151 // ZM00001D037562 // ZM00001D018468	Formaldehyde-Oxidation	NAD-P-OR-NOP // FORMALDEHYDE // WATER	RXN-2962 // RXN-2961 // S-FORMYLGLUTATHIONE-HYDROLASE-RXN
PWY-7909	NADPH // 5-10-METHENYL-THF-GLU-N // NADP // METHYLENE-THF-GLU-N // FORMALDEHYDE // PROTON // FORMATE // THF-GLU-N // FORMYL-THF-GLU-N // WATER	MONOMERDQC-46270 // MONOMERDQC-49917 // MONOMERDQC-60954 // ZM00001D048550-MONOMER	ZM00001D010867 // ZM00001D053900 // ZM00001D005614 // ZM00001D048550	Formaldehyde-Oxidation	FORMALDEHYDE // NADP	FORMYLTHFDEFORMYL-RXN // RXN-2881 // METHYLENETHFDEHYDROG-NADP-RXN // METHENYLTHFCYCLOHYDRO-RXN
PWY-1881	NADH // CARBON-DIOXIDE // FORMATE // NAD	ZM00001D006877-MONOMER // ZM00001D014163-MONOMER // ZM00001D053924-MONOMER // ZM00001D019818-MONOMER // ZM00001D033618-MONOMER // ZM00001D004323-MONOMER // ZM00001D011368-MONOMER // ZM00001D017801-MONOMER // MONOMERDQC-52635 // ZM00001D011367-MONOMER	ZM00001D006877 // ZM00001D014163 // ZM00001D053924 // ZM00001D019818 // ZM00001D033618 // ZM00001D004323 // ZM00001D011368 // ZM00001D017801 // ZM00001D045965 // ZM00001D011367	CHEMOAUTOTROPHIC-ENERGY-METABOLISM // C1-COMPOUNDS	FORMATE // NAD	1.2.1.2-RXN
PWY66-423	Pi // WATER // ADP // CPD-535 // PROTON // FRUCTOSE-6P // ATP	ZM00001D007253-MONOMER // ZM00001D037532-MONOMER	ZM00001D007253 // ZM00001D037532	Metabolic-Regulators	ATP // WATER	6-PHOSPHOFRUCTO-2-KINASE-RXN // 3.1.3.46-RXN
PWY-5034	ENT-KAUR-16-EN-19-AL // ENT-KAUR-16-EN-19-OL // CPD1F-128 // PROTON // CPD1F-95 // CPD1F-138 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD1F-136 // CPD1F-132 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	MONOMERDQC-45023 // MONOMERDQC-48031 // GDQC-105505-MONOMER // MONOMERDQC-45408 // MONOMERDQC-53350 // ZM00001D028694-MONOMER	ZM00001D046342 // ZM00001D046344 // GDQC-105505 // ZM00001D047830 // ZM00001D045563 // ZM00001D028694	GIBBERELLIN-SYN	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // CPD1F-128	1.14.13.79-RXN // RXN1F-160 // RXN1F-161 // 1.14.13.78-RXN // RXN-5242 // RXN-7580
PWY-401	PROTON // UDP // Galactosyl-galactosyl-diacyl-glycerols // CPD-14553 // CPD-10363 // DIACYLGLYCEROL // Tetragalactosyldiacylglycerol // D-Galactosyl-12-diacyl-glycerols // CPD-10364	MONOMERDQC-45289 // ZM00001D018406-MONOMER // ZM00001D020537-MONOMER // MONOMERDQC-45296 // MONOMERDQC-46036 // ZM00001D039953-MONOMER // MONOMERDQC-49591 // ZM00001D018594-MONOMER // ZM00001D025459-MONOMER // MONOMERDQC-50911 // ZM00001D003750-MONOMER // ZM00001D053174-MONOMER // ZM00001D043881-MONOMER // MONOMERDQC-59791 // MONOMERDQC-61115 // ZM00001D018593-MONOMER	ZM00001D031428 // ZM00001D018406 // ZM00001D020537 // ZM00001D028571 // ZM00001D053149 // ZM00001D039953 // ZM00001D016731 // ZM00001D018594 // ZM00001D025459 // ZM00001D005882 // ZM00001D003750 // ZM00001D053174 // ZM00001D043881 // ZM00001D028211 // ZM00001D004642 // ZM00001D018593	Glycolipids-Biosynthesis	CPD-14553	RXN-16635 // RXN-9721 // RXN-1226 // RXN-1225 // 2.4.1.46-RXN
PWY-4041	L-GAMMA-GLUTAMYLCYSTEINE // GLY // CYS // CYS-GLY // GLUTATHIONE // Amino-Acids-20 // ADP // Pi // GLT // PROTON // WATER // ATP // 5-OXOPROLINE // L-Amino-Acids // 5-L-GLUTAMYL-L-AMINO-ACID	MONOMERDQC-42844 // ZM00001D004035-MONOMER // MONOMERDQC-50747 // ZM00001D015767-MONOMER // MONOMERDQC-42873 // ZM00001D007672-MONOMER // ZM00001D007658-MONOMER // MONOMERDQC-49474 // MONOMERDQC-49475 // MONOMERDQC-52050 // MONOMERDQC-52601 // ZM00001D017328-MONOMER // MONOMERDQC-57021 // ZM00001D008687-MONOMER // GDQC-113394-MONOMER // ZM00001D029652-MONOMER // ZM00001D053364-MONOMER // MONOMERDQC-44699 // ZM00001D016469-MONOMER // ZM00001D053365-MONOMER // ZM00001D051974-MONOMER // MONOMERDQC-50985 // MONOMERDQC-51168 // ZM00001D019991-MONOMER // MONOMERDQC-58714 // MONOMERDQC-61439	ZM00001D010950 // ZM00001D004035 // ZM00001D035445 // ZM00001D015767 // ZM00001D046779 // ZM00001D007672 // ZM00001D007658 // ZM00001D007670 // ZM00001D007667 // ZM00001D040146 // ZM00001D007661 // ZM00001D017328 // ZM00001D041710 // ZM00001D008687 // GDQC-113394 // ZM00001D029652 // ZM00001D053364 // ZM00001D033364 // ZM00001D016469 // ZM00001D053365 // ZM00001D051974 // ZM00001D032220 // ZM00001D031876 // ZM00001D019991 // ZM00001D025542 // ZM00001D010554	Reductants // Super-Pathways	WATER // ATP // GLUTATHIONE // Amino-Acids-20	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN // 5-OXOPROLINASE-ATP-HYDROLYSING-RXN // RXN-6601 // RXN-6622 // GLUTATHIONE-SYN-RXN // GLUTCYSLIG-RXN
PWY-66	WATER // GDP-MANNOSE // GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE // PROTON // NADPH // GDP-4-DEHYDRO-6-L-DEOXYGALACTOSE // CPD-13118 // NADP	ZM00001D045420-MONOMER // ZM00001D036091-MONOMER // ZM00001D046855-MONOMER	ZM00001D045420 // ZM00001D036091 // ZM00001D046855	GDP-Sugar-Biosynthesis	NADPH // PROTON // GDP-MANNOSE	FCLREDUCT-RXN // FCLEPIM-RXN // GDPMANDEHYDRA-RXN
PWY-6	ADP // L-Fucopyranoses // ATP // PPI // CPD-13118 // PROTON // CPD-488 // GTP	MONOMERDQC-49842	ZM00001D027347	GDP-Sugar-Biosynthesis	GTP // L-Fucopyranoses // ATP	2.7.7.30-RXN // FUCOKINASE-RXN
PWY-5115	CPD-7078 // GDP-L-GALACTOSE // GDP-MANNOSE	MONOMERDQC-59314 // ZM00001D048954-MONOMER	ZM00001D032950 // ZM00001D048954	GDP-Sugar-Biosynthesis	GDP-MANNOSE	RXN-1882 // RXN-7771
PWY-5659	CPD-15979 // PPI // GDP-MANNOSE // PROTON // MANNOSE-1P // GTP // FRUCTOSE-6P // D-glucopyranose-6-phosphate	ZM00001D008525-MONOMER // MONOMERDQC-44486 // ZM00001D048907-MONOMER // ZM00001D008524-MONOMER // MONOMERDQC-49404 // ZM00001D019976-MONOMER // MONOMERDQC-59729 // MONOMERDQC-50455 // ZM00001D033345-MONOMER // MONOMERDQC-52765 // MONOMERDQC-55131 // MONOMERDQC-55468 // MONOMERDQC-57142 // MONOMERDQC-45758 // MONOMERDQC-46228 // ZM00001D014644-MONOMER // MONOMERDQC-54199 // ZM00001D010482-MONOMER	ZM00001D008525 // ZM00001D040020 // ZM00001D048907 // ZM00001D008524 // ZM00001D019568 // ZM00001D019976 // ZM00001D001789 // ZM00001D012395 // ZM00001D033345 // ZM00001D028572 // ZM00001D048126 // ZM00001D028045 // ZM00001D042874 // ZM00001D034256 // ZM00001D020771 // ZM00001D014644 // ZM00001D005925 // ZM00001D010482	GDP-Sugar-Biosynthesis	D-glucopyranose-6-phosphate // PROTON // GTP	PGLUCISOM-RXN // 2.7.7.13-RXN // PHOSMANMUT-RXN // MANNPISOM-RXN
PWY-5829	PPI // GERANYL-PP // WATER // NADPH // PROTON // NADP // GERANIOL // CPD-9762 // GERANIAL	MONOMER-12827 // ZM00001D002350-MONOMER // MONOMERDQC-53577 // MONOMERDQC-58552 // MONOMERDQC-61338	G-9834 // ZM00001D002350 // ZM00001D002351 // ZM00001D045043 // ZM00001D002250	MONOTERPENOID-SYN	NADP // GERANYL-PP // WATER	RXN-9193 // GERANIOL-DEHYDROGENASE-RXN // RXN-8618
PWY-5122	PPI // GERANYL-PP // CPD-4211 // DELTA3-ISOPENTENYL-PP	ZM00001D021929-MONOMER // ZM00001D006678-MONOMER	ZM00001D021929 // ZM00001D006678	All-Trans-Polyprenyl-Biosynthesis	CPD-4211 // DELTA3-ISOPENTENYL-PP	GPPSYN-RXN
PWY-5120	PPI // GERANYLGERANYL-PP // FARNESYL-PP // DELTA3-ISOPENTENYL-PP	MONOMERDQC-60225 // ZM00001D051416-MONOMER // ZM00001D043727-MONOMER // ZM00001D017540-MONOMER // ZM00001D021929-MONOMER // ZM00001D011673-MONOMER // ZM00001D008370-MONOMER // MONOMERDQC-56547 // ZM00001D006678-MONOMER	ZM00001D039142 // ZM00001D051416 // ZM00001D043727 // ZM00001D017540 // ZM00001D021929 // ZM00001D011673 // ZM00001D008370 // ZM00001D009431 // ZM00001D006678	GGPP-Biosynthesis	FARNESYL-PP // DELTA3-ISOPENTENYL-PP	FARNESYLTRANSTRANSFERASE-RXN
PWY-5733	CPD-8744 // CPD-8745 // CPD-8746 // CPD-9370 // PPI // CPD-9006 // FARNESYL-PP	ZM00001D004509-MONOMER // MONOMERDQC-53036	ZM00001D004509 // ZM00001D004484	SESQUITERPENOID-SYN	FARNESYL-PP	RXN-11527 // RXN-8939 // RXN-8562 // RXN-8561 // RXN-8553
PWY-5070	CPD1F-95 // WATER // CPD1F-97 // CPD-6201 // PROTON // CPD1F-120 // CPD-6221 // CPD1F-84 // CARBON-DIOXIDE // SUC // CPD1F-137 // CPD1F-134 // 2-KETOGLUTARATE // OXYGEN-MOLECULE	MONOMERDQC-45418 // MONOMERDQC-46965 // ZM00001D034898-MONOMER // ZM00001D007894-MONOMER	ZM00001D043539 // ZM00001D005253 // ZM00001D034898 // ZM00001D007894	GIBBERELLINS-BIOSYNTHESIS	2-KETOGLUTARATE // OXYGEN-MOLECULE // CPD1F-95	RXN1F-165 // RXN-6541 // RXN1F-99 // RXN-6523 // RXN1F-164 // RXN1F-163 // RXN1F-162
PWY-5035	Ox-NADPH-Hemoprotein-Reductases // CPD-695 // CPD1F-95 // Red-NADPH-Hemoprotein-Reductases // CPD1F-86 // CPD1F-96 // CPD1F-139 // CPD1F-140 // WATER // CARBON-DIOXIDE // SUC // CPD-6203 // PROTON // CPD-10332 // 2-KETOGLUTARATE // OXYGEN-MOLECULE	ZM00001D007180-MONOMER // MONOMERDQC-58954 // ZM00001D012212-MONOMER // ZM00001D034898-MONOMER // ZM00001D007894-MONOMER // ZM00001D042611-MONOMER // ZM00001D037627-MONOMER // ZM00001D003311-MONOMER // ZM00001D039634-MONOMER	ZM00001D007180 // ZM00001D029031 // ZM00001D012212 // ZM00001D034898 // ZM00001D007894 // ZM00001D042611 // ZM00001D037627 // ZM00001D003311 // ZM00001D039634	GIBBERELLINS-BIOSYNTHESIS	2-KETOGLUTARATE // OXYGEN-MOLECULE // CPD1F-95 // Red-NADPH-Hemoprotein-Reductases	RXN-6524 // RXN1F-170 // RXN1F-101 // RXN1F-169 // RXN1F-168 // RXN1F-143 // RXN1F-167
PWY-102	CPD1F-140 // CPD-229 // CPD-204 // CPD1F-139 // CPD-251 // CPD-236 // CPD1F-134 // CPD-498 // CPD-482 // CPD1F-137 // WATER // CPD-632 // CPD-6224 // CPD-475 // CPD1F-95 // CPD-477 // CPD-695 // CARBON-DIOXIDE // SUC // CPD-885 // PROTON // CPD-638 // 2-KETOGLUTARATE // OXYGEN-MOLECULE	ZM00001D039394-MONOMER // ZM00001D043411-MONOMER // MONOMERDQC-50306 // ZM00001D038996-MONOMER // ZM00001D038695-MONOMER // MONOMERDQC-55479 // ZM00001D037627-MONOMER // ZM00001D040737-MONOMER // MONOMERDQC-55575 // ZM00001D024175-MONOMER // ZM00001D035994-MONOMER // ZM00001D018617-MONOMER // MONOMERDQC-49607 // MONOMERDQC-61272	ZM00001D039394 // ZM00001D043411 // ZM00001D012712 // ZM00001D038996 // ZM00001D038695 // ZM00001D008909 // ZM00001D037627 // ZM00001D040737 // ZM00001D037565 // ZM00001D024175 // ZM00001D035994 // ZM00001D018617 // ZM00001D002999 // ZM00001D017294	GIBBERELLINS-DEGRADATION // Gibberellin-Inactivation // Metabolic-Clusters	CPD-638 // 2-KETOGLUTARATE // OXYGEN-MOLECULE // CPD-695 // CPD1F-95 // CPD1F-137 // CPD1F-134 // CPD1F-139 // CPD1F-140	RXN-886 // RXN-991 // RXN-947 // RXN-292 // RXN-6550 // RXN-172 // RXN-171 // RXN-114 // RXN-115 // RXN-118 // RXN-113
GLUCONEO-PWY	FRUCTOSE-16-DIPHOSPHATE // DPG // G3P // 2-PG // ADP // AMP // PHOSPHO-ENOL-PYRUVATE // Pi // WATER // ATP // NADPH // NADP // DIHYDROXY-ACETONE-PHOSPHATE // GAP // CARBON-DIOXIDE // PYRUVATE // NADH // OXALACETIC_ACID // PROTON // MAL // NAD // FRUCTOSE-6P // D-glucopyranose-6-phosphate	ZM00001D028562-MONOMER // ZM00001D046942-MONOMER // ZM00001D042727-MONOMER // MONOMERDQC-49375 // ZM00001D036552-MONOMER // MONOMER-12903 // MONOMER-12902 // CPLX-5522 // ZM00001D053015-MONOMER // ZM00001D012103-MONOMER // ZM00001D028395-MONOMER // ZM00001D040084-MONOMER // MONOMERDQC-52208 // ZM00001D023559-MONOMER // MONOMERDQC-54863 // ZM00001D003968-MONOMER // MONOMERDQC-56733 // MONOMERDQC-57351 // ZM00001D051622-MONOMER // ZM00001D006862-MONOMER // MONOMERDQC-46266 // ZM00001D019945-MONOMER // MONOMERDQC-50755 // MONOMERDQC-51863 // ZM00001D016297-MONOMER // ZM00001D021798-MONOMER // MONOMERDQC-55680 // ZM00001D003429-MONOMER // MONOMERDQC-56489 // MONOMERDQC-57757 // MONOMERDQC-58277 // MONOMERDQC-58420 // ZM00001D009524-MONOMER // MONOMERDQC-59240 // ZM00001D024575-MONOMER // ZM00001D015885-MONOMER // ZM00001D010672-MONOMER // MONOMERDQC-49826 // MONOMERDQC-53243 // ZM00001D038579-MONOMER // MONOMERDQC-58422 // MONOMER-9165 // ZM00001D018021-MONOMER // MONOMERDQC-44482 // ZM00001D037501-MONOMER // ZM00001D036858-MONOMER // MONOMERDQC-48602 // ZM00001D041697-MONOMER // ZM00001D039777-MONOMER // MONOMERDQC-55620 // ZM00001D029025-MONOMER // ZM00001D028556-MONOMER // ZM00001D017981-MONOMER // MONOMERDQC-48221 // ZM00001D037152-MONOMER // ZM00001D014104-MONOMER // MONOMERDQC-51010 // ZM00001D005674-MONOMER // MONOMERDQC-56078 // MONOMERDQC-57893 // MONOMERDQC-58200 // ZM00001D004765-MONOMER // MONOMERDQC-59134 // MONOMERDQC-59939 // ZM00001D005345-MONOMER // GDQC-113518-MONOMER // GDQC-108139-MONOMER // MONOMERDQC-45270 // ZM00001D008318-MONOMER // MONOMERDQC-59319 // ZM00001D018429-MONOMER // MONOMERDQC-60605 // ZM00001D051182-MONOMER // ZM00001D039633-MONOMER // MONOMERDQC-57365 // ZM00001D041614-MONOMER // MONOMERDQC-55149 // MONOMERDQC-54129 // ZM00001D000316-MONOMER // ZM00001D004962-MONOMER // ZM00001D011289-MONOMER // ZM00001D034292-MONOMER // MONOMERDQC-50353 // ZM00001D036873-MONOMER // MONOMERDQC-49599 // MONOMERDQC-48946 // ZM00001D042392-MONOMER // MONOMERDQC-43084 // CPLX-864 // GDQC-108581-MONOMER // ZM00001D029307-MONOMER // ZM00001D033237-MONOMER // MONOMERDQC-46571 // ZM00001D009835-MONOMER // MONOMERDQC-52112 // ZM00001D021310-MONOMER // MONOMERDQC-53433 // ZM00001D030216-MONOMER // MONOMERDQC-56013 // ZM00001D024005-MONOMER // ZM00001D040375-MONOMER // ZM00001D041243-MONOMER // ZM00001D050409-MONOMER // MONOMERDQC-44992 // ZM00001D032695-MONOMER // ZM00001D002741-MONOMER // ZM00001D032187-MONOMER // MONOMERDQC-50835 // ZM00001D034241-MONOMER // ZM00001D019330-MONOMER // ZM00001D022229-MONOMER // ZM00001D044042-MONOMER // ZM00001D014030-MONOMER // MONOMERDQC-45758 // MONOMERDQC-46228 // ZM00001D014644-MONOMER // MONOMERDQC-54199 // ZM00001D010482-MONOMER	ZM00001D028562 // ZM00001D046942 // ZM00001D042727 // ZM00001D010172 // ZM00001D036552 // ZM00001D053015 // ZM00001D012103 // ZM00001D028395 // ZM00001D040084 // ZM00001D008491 // ZM00001D023559 // ZM00001D046553 // ZM00001D003968 // ZM00001D028270 // ZM00001D042453 // ZM00001D051622 // ZM00001D006862 // ZM00001D015383 // ZM00001D019945 // ZM00001D035156 // ZM00001D049641 // ZM00001D016297 // ZM00001D021798 // ZM00001D051001 // ZM00001D003429 // ZM00001D017121 // ZM00001D053798 // ZM00001D053790 // ZM00001D044057 // ZM00001D009524 // ZM00001D040584 // ZM00001D024575 // ZM00001D015885 // ZM00001D010672 // ZM00001D032867 // ZM00001D015376 // ZM00001D038579 // ZM00001D043194 // G-9857 // ZM00001D018021 // ZM00001D043086 // ZM00001D037501 // ZM00001D036858 // ZM00001D023880 // ZM00001D041697 // ZM00001D039777 // ZM00001D012518 // ZM00001D029025 // ZM00001D028556 // ZM00001D017981 // ZM00001D045431 // ZM00001D037152 // ZM00001D014104 // ZM00001D020309 // ZM00001D005674 // ZM00001D036086 // ZM00001D028554 // ZM00001D000452 // ZM00001D004765 // ZM00001D047843 // ZM00001D030373 // ZM00001D005345 // GDQC-113518 // GDQC-108139 // ZM00001D008314 // ZM00001D008318 // ZM00001D028471 // ZM00001D018429 // ZM00001D003090 // ZM00001D051182 // ZM00001D039633 // ZM00001D037962 // ZM00001D041614 // ZM00001D037693 // ZM00001D031899 // ZM00001D000316 // ZM00001D004962 // ZM00001D011289 // ZM00001D034292 // ZM00001D037961 // ZM00001D036873 // ZM00001D012764 // ZM00001D010358 // ZM00001D042392 // ZM00001D043601 // me1 // GDQC-108581 // ZM00001D029307 // ZM00001D033237 // ZM00001D039865 // ZM00001D009835 // ZM00001D006221 // ZM00001D021310 // ZM00001D008619 // ZM00001D030216 // ZM00001D012407 // ZM00001D024005 // ZM00001D040375 // ZM00001D041243 // ZM00001D050409 // ZM00001D009640 // ZM00001D032695 // ZM00001D002741 // ZM00001D032187 // ZM00001D039089 // ZM00001D034241 // ZM00001D019330 // ZM00001D022229 // ZM00001D044042 // ZM00001D014030 // ZM00001D034256 // ZM00001D020771 // ZM00001D014644 // ZM00001D005925 // ZM00001D010482	Gluconeogenesis	MAL // DIHYDROXY-ACETONE-PHOSPHATE // NADP // WATER // ATP	PGLUCISOM-RXN // MALATE-DEH-RXN // 1.1.1.39-RXN // TRIOSEPISOMERIZATION-RXN // MALIC-NADP-RXN // PEPSYNTH-RXN // PEPCARBOXYKIN-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // F16ALDOLASE-RXN // F16BDEPHOS-RXN
GLUCOSE1PMETAB-PWY	Phosphorylated-phosphoglucomutase // ALPHA-GLUCOSE-16-BISPHOSPHATE // Phosphoglucomutase // E- // Pi // GLUCONATE // WATER // GLC-1-P // PROTON // ADP // D-glucopyranose-6-phosphate // ATP // GLC-D-LACTONE // Ubiquinols // Ubiquinones // Glucopyranose	ZM00001D045564-MONOMER // MONOMERDQC-46920 // ZM00001D045565-MONOMER // MONOMERDQC-43175 // ZM00001D019976-MONOMER // MONOMERDQC-55227 // ZM00001D044211-MONOMER // ZM00001D036666-MONOMER // MONOMERDQC-49404 // ZM00001D036664-MONOMER // MONOMERDQC-43694 // ZM00001D019089-MONOMER // MONOMERDQC-60168	ZM00001D045564 // ZM00001D043526 // ZM00001D045565 // ZM00001D030009 // ZM00001D019976 // ZM00001D013428 // ZM00001D044211 // ZM00001D036666 // ZM00001D019568 // ZM00001D036664 // ZM00001D033746 // ZM00001D019089 // ZM00001D033567	Sugars-And-Polysaccharides-Degradation	Ubiquinones // ATP // GLC-1-P // WATER	RXN0-6373 // GLUCOKIN-RXN // PHOSPHOGLUCMUT-RXN // GLUCONOLACT-RXN // GLUCOSE-1-PHOSPHAT-RXN
PWY-2161B	GLT // THF // THF-GLU-N // WATER	MONOMERDQC-43379 // MONOMERDQC-47032 // MONOMERDQC-58221	ZM00001D042075 // ZM00001D010744 // ZM00001D028402	Folate-Biosynthesis	THF-GLU-N // WATER	RXN-3741
PWY-5921	PPI // AMP // GLN-tRNAs // GLT // GLN // WATER // ADP // ATP // L-glutamyl-tRNAGln // PROTON // Pi // Charged-GLN-tRNAs // 5-Phosphooxy-L-glutamyl-tRNAGlln // AMMONIUM	MONOMERDQC-55318 // MONOMERDQC-48402 // MONOMERDQC-48749 // ZM00001D051586-MONOMER // MONOMERDQC-54934 // MONOMERDQC-44039 // ZM00001D047736-MONOMER // ZM00001D028766-MONOMER // MONOMERDQC-47144 // ZM00001D023376-MONOMER // MONOMERDQC-48015 // ZM00001D010355-MONOMER // MONOMERDQC-53598 // ZM00001D031563-MONOMER // ZM00001D052493-MONOMER // MONOMERDQC-59915 // ZM00001D007936-MONOMER // MONOMERDQC-54486 // ZM00001D018632-MONOMER // ZM00001D018633-MONOMER // MONOMERDQC-49019 // MONOMERDQC-47099 // MONOMERDQC-52128 // MONOMERDQC-52370 // MONOMERDQC-53467 // MONOMERDQC-53620 // MONOMERDQC-56652 // MONOMERDQC-57505 // ZM00001D047084-MONOMER // ZM00001D037287-MONOMER // ZM00001D021292-MONOMER // ZM00001D034412-MONOMER // MONOMERDQC-55215 // MONOMERDQC-59597 // ZM00001D029732-MONOMER // MONOMERDQC-43405 // ZM00001D022399-MONOMER // MONOMERDQC-43991 // ZM00001D038948-MONOMER // MONOMERDQC-54008 // ZM00001D013656-MONOMER // MONOMERDQC-46733 // ZM00001D004288-MONOMER // MONOMERDQC-54561 // ZM00001D004287-MONOMER	ZM00001D022388 // ZM00001D044250 // ZM00001D011192 // ZM00001D051586 // ZM00001D017790 // ZM00001D030760 // ZM00001D047736 // ZM00001D028766 // ZM00001D010196 // ZM00001D023376 // ZM00001D028750 // ZM00001D010355 // ZM00001D044608 // ZM00001D031563 // ZM00001D052493 // ZM00001D045675 // ZM00001D007936 // ZM00001D053981 // ZM00001D018632 // ZM00001D018633 // ZM00001D026685 // ZM00001D039081 // ZM00001D044488 // ZM00001D011357 // ZM00001D044024 // ZM00001D041620 // ZM00001D011486 // ZM00001D009631 // ZM00001D047084 // ZM00001D037287 // ZM00001D021292 // ZM00001D034412 // ZM00001D016012 // ZM00001D028464 // ZM00001D029732 // ZM00001D037175 // ZM00001D022399 // ZM00001D043845 // ZM00001D038948 // ZM00001D011610 // ZM00001D013656 // ZM00001D002104 // ZM00001D004288 // ZM00001D052660 // ZM00001D004287	Aminoacyl-tRNAs-Charging	ATP // GLN // WATER // GLN-tRNAs	RXN-20083 // RXN-20082 // GLUTAMIN-RXN // RXN-9386
GLUTATHIONESYN-PWY	CYS // GLT // ADP // Pi // GLUTATHIONE // PROTON // GLY // L-GAMMA-GLUTAMYLCYSTEINE // ATP	MONOMERDQC-42844 // ZM00001D004035-MONOMER // MONOMERDQC-50747 // ZM00001D015767-MONOMER // MONOMERDQC-42873 // ZM00001D007672-MONOMER // ZM00001D007658-MONOMER // MONOMERDQC-49474 // MONOMERDQC-49475 // MONOMERDQC-52050 // MONOMERDQC-52601 // ZM00001D017328-MONOMER // MONOMERDQC-57021 // ZM00001D008687-MONOMER	ZM00001D010950 // ZM00001D004035 // ZM00001D035445 // ZM00001D015767 // ZM00001D046779 // ZM00001D007672 // ZM00001D007658 // ZM00001D007670 // ZM00001D007667 // ZM00001D040146 // ZM00001D007661 // ZM00001D017328 // ZM00001D041710 // ZM00001D008687	Enzyme-Cofactor-Biosynthesis // Reductants	GLY // ATP // CYS // GLT	GLUTATHIONE-SYN-RXN // GLUTCYSLIG-RXN
GLUT-REDOX-PWY	OXIDIZED-GLUTATHIONE // GLUTATHIONE // Ox-Glutaredoxins // Protein-Red-Disulfides // Protein-Ox-Disulfides // Red-Glutaredoxins	ZM00001D013668-MONOMER // ZM00001D023872-MONOMER // ZM00001D016478-MONOMER // ZM00001D012904-MONOMER // ZM00001D042187-MONOMER // ZM00001D018827-MONOMER // ZM00001D048719-MONOMER // ZM00001D054094-MONOMER // ZM00001D023869-MONOMER // ZM00001D007885-MONOMER // ZM00001D009568-MONOMER	ZM00001D013668 // ZM00001D023872 // ZM00001D016478 // ZM00001D012904 // ZM00001D042187 // ZM00001D018827 // ZM00001D048719 // ZM00001D054094 // ZM00001D023869 // ZM00001D007885 // ZM00001D009568	Reductants	Protein-Ox-Disulfides // GLUTATHIONE	RXN0-7271 // PRODISULFREDUCT-A-RXN
PWY-4081	HYDROGEN-PEROXIDE // WATER // Lipid-hydroxy-fatty-acids // A-LIPID-HYDROPEROXIDE // PROTON // NADPH // OXIDIZED-GLUTATHIONE // GLUTATHIONE // NADP	ZM00001D029089-MONOMER // ZM00001D029085-MONOMER // MONOMERDQC-44025 // ZM00001D051392-MONOMER // ZM00001D037079-MONOMER // ZM00001D025657-MONOMER // ZM00001D006437-MONOMER // MONOMERDQC-49941 // MONOMERDQC-56736	ZM00001D029089 // ZM00001D029085 // ZM00001D002704 // ZM00001D051392 // ZM00001D037079 // ZM00001D025657 // ZM00001D006437 // ZM00001D018454 // ZM00001D027769	Reductants	NADPH // PROTON // A-LIPID-HYDROPEROXIDE // HYDROGEN-PEROXIDE	GLUTATHIONE-REDUCT-NADPH-RXN // 1.11.1.12-RXN // GLUTATHIONE-PEROXIDASE-RXN
PWY-4261	E- // ADP // PROTON // GLYCEROL // ATP // DIHYDROXY-ACETONE-PHOSPHATE // ETR-Quinols // ETR-Quinones // GLYCEROL-3P	ZM00001D045760-MONOMER // ZM00001D002085-MONOMER // ZM00001D047299-MONOMER // MONOMERDQC-55858	ZM00001D045760 // ZM00001D002085 // ZM00001D047299 // ZM00001D024967	Fatty-Acid-and-Lipid-Degradation // GLYCEROL-DEG	ETR-Quinones // GLYCEROL // ATP	RXN-15745 // GLYCEROL-KIN-RXN
PWY-6118	E- // PROTON // NADH // NAD // DIHYDROXY-ACETONE-PHOSPHATE // ETR-Quinols // ETR-Quinones // GLYCEROL-3P	ZM00001D010670-MONOMER // MONOMERDQC-53427 // MONOMERDQC-54116 // ZM00001D019218-MONOMER // MONOMERDQC-57461 // MONOMERDQC-55858	ZM00001D010670 // ZM00001D012567 // ZM00001D041962 // ZM00001D019218 // ZM00001D042152 // ZM00001D024967	OTHER-ENERGY	ETR-Quinones // NADH // PROTON	RXN-15745 // 1.1.1.8-RXN
